"","SITECODE","PERIOD","Site_P","COMMENTS","Start","End","RANGE","MID"
"277","ENG84",1,"ENG84-1","",NA,NA,NA,NA
"278","ENG84",2,"ENG84-2","",NA,NA,NA,NA
"279","ENG84",4,"ENG84-4","",NA,NA,NA,NA
"280","ENG84",5,"ENG84-5","",NA,NA,NA,NA
"281","ENG84",6,"ENG84-6","",NA,NA,NA,NA
"282","ENG84",7,"ENG84-7","",NA,NA,NA,NA
"283","ENG84",8,"ENG84-8","",NA,NA,NA,NA
"284","ENS03",1,"ENS03-1","",NA,NA,NA,NA
"285","ENS03",2,"ENS03-2","",NA,NA,NA,NA
"286","ENS03",3,"ENS03-3","",NA,NA,NA,NA
"287","ENS03",4,"ENS03-4","",NA,NA,NA,NA
"288","ENS03",5,"ENS03-5","",NA,NA,NA,NA
"289","ENS03",6,"ENS03-6","",NA,NA,NA,NA
"290","ESC97",0,"ESC97-0","NATURAL",NA,NA,NA,NA
"291","EX-PRO03",1,"EX-PRO03-1","NATURAL DEPOSITS: RECORDED IN PLAN & SECTION. INCLUDES LOCALISED SPREAD OF BRICKEARTH IN TR2",NA,NA,NA,NA
"292","EX-PRO03",5,"EX-PRO03-5","POSTULATED (UNDATED) MEDIEVAL DEPOSITS & TERTIARY COLLUVIAL SPREADS",NA,NA,NA,NA
"293","FCC95",0,"FCC95-0","",NA,NA,NA,NA
"294","FCC95",1,"FCC95-1","DRIFT GEOLOGY",NA,NA,NA,NA
"295","FEH95",0,"FEH95-0","",NA,NA,NA,NA
"296","FEH95",1,"FEH95-1","Natural/prehistory",NA,43,NA,NA
"297","FER97",0,"FER97-0","",NA,NA,NA,NA
"298","FER97",1,"FER97-1","",NA,NA,NA,NA
"299","FER97",301,"FER97-301","",NA,NA,NA,NA
"300","FER97",302,"FER97-302","",NA,NA,NA,NA
"301","FER97",303,"FER97-303","",NA,NA,NA,NA
"302","FER97",304,"FER97-304","",NA,NA,NA,NA
"303","FEU08",1,"FEU08-1","NATURAL DEPOSITS",NA,NA,NA,NA
"304","FFL01",1,"FFL01-1","DRIFT GEOLOGY",NA,NA,NA,NA
"305","FIB88",1,"FIB88-1","",NA,NA,NA,NA
"306","FIB88",2,"FIB88-2","",NA,NA,NA,NA
"307","FIB88",3,"FIB88-3","",NA,NA,NA,NA
"308","FIB88",4,"FIB88-4","",NA,NA,NA,NA
"309","FIS96",0,"FIS96-0","NATURAL",NA,NA,NA,NA
"310","FIS96",1,"FIS96-1","PRE AD1230",NA,1230,NA,NA
"311","FLL01",1,"FLL01-1","",NA,NA,NA,NA
"312","FLL01",2,"FLL01-2","",NA,NA,NA,NA
"313","FLL01",3,"FLL01-3","",NA,NA,NA,NA
"314","FNB02",1,"FNB02-1","",NA,NA,NA,NA
"315","FOT01",0,"FOT01-0","NATURAL",NA,NA,NA,NA
"316","FOT01",1,"FOT01-1","ROMAN BUILDINGS, HADRIANIC FIRE, POST FIRE BUILDINGS, DARK EARTH + PITTING",43,NA,NA,NA
"317","FRG94",1,"FRG94-1","",NA,NA,NA,NA
"318","FRG94",2,"FRG94-2","",NA,NA,NA,NA
"319","FRG94",3,"FRG94-3","",NA,NA,NA,NA
"320","FRG94",4,"FRG94-4","",NA,NA,NA,NA
"321","FRZ06",1,"FRZ06-1","",NA,NA,NA,NA
"322","FRZ06",2,"FRZ06-2","",NA,NA,NA,NA
